divergence	divergence_value	haplotype	chromosome
0	978	Alt1	Chr1
1	495	Alt1	Chr1
2	831	Alt1	Chr1
3	1176	Alt1	Chr1
4	1415	Alt1	Chr1
5	1767	Alt1	Chr1
6	2007	Alt1	Chr1
7	1756	Alt1	Chr1
8	1704	Alt1	Chr1
9	1575	Alt1	Chr1
10	1308	Alt1	Chr1
11	1374	Alt1	Chr1
12	1007	Alt1	Chr1
13	1212	Alt1	Chr1
14	1265	Alt1	Chr1
15	1158	Alt1	Chr1
16	1.06	Alt1	Chr1
17	1138	Alt1	Chr1
18	1137	Alt1	Chr1
19	1033	Alt1	Chr1
20	1051	Alt1	Chr1
21	1071	Alt1	Chr1
22	973	Alt1	Chr1
23	802	Alt1	Chr1
24	635	Alt1	Chr1
25	506	Alt1	Chr1
26	556	Alt1	Chr1
27	0.45	Alt1	Chr1
28	362	Alt1	Chr1
29	347	Alt1	Chr1
30	445	Alt1	Chr1
31	201	Alt1	Chr1
32	191	Alt1	Chr1
33	85	Alt1	Chr1
34	41	Alt1	Chr1
35	6	Alt1	Chr1
36	3	Alt1	Chr1
37	0	Alt1	Chr1
38	0	Alt1	Chr1
39	0	Alt1	Chr1
40	0	Alt1	Chr1
0	1177	Alt2	Chr1
1	552	Alt2	Chr1
2	972	Alt2	Chr1
3	1275	Alt2	Chr1
4	1437	Alt2	Chr1
5	1749	Alt2	Chr1
6	1877	Alt2	Chr1
7	2042	Alt2	Chr1
8	2174	Alt2	Chr1
9	1768	Alt2	Chr1
10	1528	Alt2	Chr1
11	1373	Alt2	Chr1
12	1308	Alt2	Chr1
13	1.1	Alt2	Chr1
14	1149	Alt2	Chr1
15	1111	Alt2	Chr1
16	1037	Alt2	Chr1
17	1212	Alt2	Chr1
18	978	Alt2	Chr1
19	1103	Alt2	Chr1
20	1043	Alt2	Chr1
21	986	Alt2	Chr1
22	1126	Alt2	Chr1
23	803	Alt2	Chr1
24	855	Alt2	Chr1
25	691	Alt2	Chr1
26	621	Alt2	Chr1
27	414	Alt2	Chr1
28	353	Alt2	Chr1
29	463	Alt2	Chr1
30	276	Alt2	Chr1
31	214	Alt2	Chr1
32	0.09	Alt2	Chr1
33	0.1	Alt2	Chr1
34	0.05	Alt2	Chr1
35	13	Alt2	Chr1
36	5	Alt2	Chr1
37	5	Alt2	Chr1
38	5	Alt2	Chr1
39	0	Alt2	Chr1
40	0	Alt2	Chr1
0	429	Alt1	Chr2
1	0.48	Alt1	Chr2
2	862	Alt1	Chr2
3	1193	Alt1	Chr2
